arrival_time_us,cpu_burst_duration_us,io_burst_duration_us,nice,weight,scheduling_class,cpu_request
1208569686,28462741,0,19,15,0,0.029572
1208569686,28674752,0,19,15,0,0.002201
1208569686,29619699,0,19,15,0,0.032166
1208569686,28860220,0,19,15,0,0.001585
1208569686,28482705,0,19,15,0,0.005020
1208569686,28520969,0,19,15,0,0.003433
1208569686,28496237,0,19,15,0,0.003876
1208569686,28496599,0,19,15,0,0.003521
1208569686,29140809,0,19,15,0,0.004051
1208569686,28507487,0,19,15,0,0.016205
1208569686,28481236,0,19,15,0,0.002289
1208569686,28937788,0,19,15,0,0.006958
1208569686,29425316,0,19,15,0,0.004051
1208569686,28836516,0,19,15,0,0.008194
1208569686,28549550,0,19,15,0,0.009949
1208569686,24978116,0,19,15,0,0.005280
1208569686,28479706,0,19,15,0,0.005669
1208569687,29061732,0,19,15,0,0.033813
1208569687,28589120,0,19,15,0,0.006958
1208569687,28404609,0,19,15,0,0.011444
1208569687,6640139,0,19,15,0,0.006691
1208569687,28541615,0,19,15,0,0.005196
1208569687,28900187,0,19,15,0,0.008636
1208569687,28511304,0,19,15,0,0.002026
1208569687,28509382,0,19,15,0,0.003521
1208569687,28470567,0,19,15,0,0.004051
1208569687,15761290,0,19,15,0,0.002731
1208569687,28536855,0,19,15,0,0.027039
1208569687,28530330,0,19,15,0,0.030212
1208569687,24979187,0,19,15,0,0.013214
1208569687,14101458,0,19,15,0,0.006958
1208569687,28735463,0,19,15,0,0.009720
1208569687,28483338,0,19,15,0,0.003521
1208662838,11864694,0,19,15,0,0.027039
1208662838,9762428,0,19,15,0,0.008713
1208662838,15728299,0,19,15,0,0.002377
1208662841,14008303,0,19,15,0,0.032043
1208662842,7017732,0,19,15,0,0.008102
1212614057,14554134,0,19,15,0,0.011703
1213808587,23727459,0,19,15,0,0.022705
1213808588,18964966,0,19,15,0,0.002464
1213808588,19017420,0,19,15,0,0.003960
1218954435,18140321,0,19,15,0,0.033752
1218954435,27485343,0,19,15,0,0.004135
1218954435,18150924,0,19,15,0,0.002026
1218954436,18148752,0,19,15,0,0.028168
1218954436,18193972,0,19,15,0,0.009506
1218954436,30590784,0,19,15,0,0.009949
1218954436,18195743,0,19,15,0,0.019562
1218954436,18150097,0,19,15,0,0.010040
1218954436,33982250,0,19,15,0,0.003696
1218954436,26602384,0,19,15,0,0.013824
1218960099,18159762,0,9,137,1,0.028076
1218960099,41311450,0,9,137,1,0.028076
1218960099,10584772,0,9,137,1,0.028076
1218960099,18075234,0,9,137,1,0.028076
1218960099,36919859,0,9,137,1,0.028076
1218960099,35159245,0,9,137,1,0.028076
1218960099,18059274,0,9,137,1,0.028076
1218960099,33391442,0,9,137,1,0.028076
1218960099,31218324,0,9,137,1,0.028076
1218960099,33359456,0,9,137,1,0.028076
1218960099,18158799,0,9,137,1,0.028076
1218960100,13895500,0,9,137,1,0.028076
1218960100,18072417,0,9,137,1,0.028076
1218960100,18010937,0,9,137,1,0.028076
1218960100,18139937,0,9,137,1,0.028076
1218960100,32007130,0,9,137,1,0.028076
1218960100,32600919,0,9,137,1,0.028076
1218960100,18073764,0,9,137,1,0.028076
1218960100,18062126,0,9,137,1,0.028076
1218960100,14078899,0,9,137,1,0.028076
1218960100,18031411,0,9,137,1,0.028076
1218960100,34719841,0,9,137,1,0.028076
1218960100,14075013,0,9,137,1,0.028076
1218960100,33195278,0,9,137,1,0.028076
1218960100,18158799,0,9,137,1,0.028076
1218960100,34718459,0,9,137,1,0.028076
1218960100,14805971,0,9,137,1,0.028076
1218960100,18072380,0,9,137,1,0.028076
1218960101,13728515,0,9,137,1,0.028076
1218960101,18024077,0,9,137,1,0.028076
1218960101,18140250,0,9,137,1,0.028076
1218960102,14653980,0,9,137,1,0.028076
1218960102,7463090,0,9,137,1,0.028076
1222293080,2097760,0,19,15,0,0.012146
1222293084,1060503,0,19,15,0,0.002640
1222317526,14717525,0,19,15,0,0.036072
1222317526,14665310,0,19,15,0,0.008194
1222317526,14135882,0,19,15,0,0.005638
1222317526,14724041,0,19,15,0,0.002907
1222317526,14670625,0,19,15,0,0.012772
1222317526,14817295,0,19,15,0,0.010391
1222317527,14748090,0,19,15,0,0.001144
1222317527,14679484,0,19,15,0,0.005722
1222317527,14720271,0,19,15,0,0.015228
1222317527,14671082,0,19,15,0,0.010132
1222317527,14106624,0,19,15,0,0.005020
1222317527,14832514,0,19,15,0,0.003788
1222317527,14725512,0,19,15,0,0.004051
1222317527,14747137,0,19,15,0,0.004051
1222317527,14789434,0,19,15,0,0.005669
1222317527,14722722,0,19,15,0,0.003696
1222317527,14692409,0,19,15,0,0.003521
1222317528,14694091,0,19,15,0,0.006783
1222317528,14697260,0,19,15,0,0.034973
1222317528,14706338,0,19,15,0,0.006783
1222317528,14729409,0,19,15,0,0.006340
1222317528,14669610,0,19,15,0,0.006340
1222317528,14677118,0,19,15,0,0.002026
1222317528,13602167,0,19,15,0,0.004051
1222317529,11703445,0,19,15,0,0.028168
1222317529,14722722,0,19,15,0,0.008896
1222317529,14720274,0,19,15,0,0.007393
1222317529,14724043,0,19,15,0,0.010208
1222317529,14679802,0,19,15,0,0.003433
1222317529,14719459,0,19,15,0,0.008636
1222317529,14732639,0,19,15,0,0.008636
1222317529,14666172,0,19,15,0,0.016205
1222317529,14724048,0,19,15,0,0.012070
1222317529,14706338,0,19,15,0,0.067871
1222317529,14668736,0,19,15,0,0.003433
1222317529,14738398,0,19,15,0,0.008636
1222317530,14105293,0,19,15,0,0.030365
1222317530,14789362,0,19,15,0,0.017609
1222317530,14779831,0,19,15,0,0.012955
1222317530,14657012,0,19,15,0,0.002026
1222317531,14793242,0,19,15,0,0.006783
1222317531,14664144,0,19,15,0,0.028015
1222317531,14120448,0,19,15,0,0.008362
1222317531,14034720,0,19,15,0,0.005104
1222317531,14662783,0,19,15,0,0.003082
1222317531,14678211,0,19,15,0,0.007751
1222317531,14724048,0,19,15,0,0.003082
1222317531,14697469,0,19,15,0,0.001238
1222317531,11699658,0,19,15,0,0.012146
1222317531,14788492,0,19,15,0,0.003521
1222317531,14669612,0,19,15,0,0.004051
1222317531,14776207,0,19,15,0,0.007484
1222317532,14724045,0,19,15,0,0.007843
1222317532,14722717,0,19,15,0,0.011093
